epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,206.784,1.1604,1.96265,1.00197,0.99454,0.52541,0.36029,0.40036,0.2489,0.49907,0.33329,0.37314,0.20948,1.5293,2.99621,1.49759,1.13152,0.0011884,0.0011884,0.0011884
31,212.463,1.25257,2.24909,1.0971,1.03877,0.60807,0.41237,0.46364,0.268,0.59666,0.38467,0.43352,0.22721,1.49735,2.93152,1.40056,1.12261,0.0011719,0.0011719,0.0011719
32,216.957,1.1948,2.05117,0.98006,1.00353,0.55185,0.47387,0.49357,0.29116,0.53755,0.46326,0.46378,0.24107,1.4509,2.74659,1.37559,1.11739,0.0011554,0.0011554,0.0011554
33,223.193,1.20532,1.95288,0.99358,1.0193,0.51894,0.47566,0.46283,0.27164,0.5863,0.40158,0.43385,0.2269,1.48237,2.74803,1.43004,1.13505,0.00113889,0.00113889,0.00113889
34,228.058,1.13864,1.91817,1.05493,0.98064,0.55628,0.4159,0.42816,0.2626,0.56233,0.38356,0.4018,0.22484,1.45912,2.76326,1.60098,1.1257,0.00112239,0.00112239,0.00112239
35,232.898,1.17803,1.99492,0.9844,0.98366,0.62971,0.42507,0.48461,0.28663,0.62188,0.41047,0.44801,0.25382,1.44844,2.67241,1.45724,1.12013,0.00110589,0.00110589,0.00110589
36,238.988,1.13751,1.85737,0.95432,0.97484,0.64521,0.49768,0.55106,0.30915,0.55683,0.52269,0.51348,0.27018,1.43777,2.58148,1.26243,1.11542,0.00108938,0.00108938,0.00108938
37,244.143,1.17004,1.94428,1.0027,1.02245,0.7159,0.45397,0.54718,0.318,0.59847,0.48189,0.49982,0.27506,1.43588,2.54172,1.27726,1.10915,0.00107288,0.00107288,0.00107288
38,249.065,1.10946,1.92382,0.96307,0.98381,0.61547,0.45609,0.5321,0.31702,0.5394,0.50257,0.50972,0.28003,1.42081,2.58053,1.26054,1.12493,0.00105638,0.00105638,0.00105638
39,255.066,1.09641,1.89075,0.91728,0.97254,0.63372,0.44429,0.52422,0.3109,0.59078,0.45254,0.50594,0.2807,1.44234,2.62813,1.22705,1.13388,0.00103987,0.00103987,0.00103987
40,259.926,1.17578,2.06783,0.94044,0.97821,0.6185,0.47337,0.51874,0.31139,0.62356,0.47408,0.50288,0.26963,1.41435,2.60981,1.20273,1.12231,0.00102337,0.00102337,0.00102337
