epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1217.96,0.91873,1.63681,1.09052,0.99855,0.67034,0.71581,0.69424,0.52824,0.67034,0.71581,0.69211,0.48101,0.9958,2.36833,1.39328,1.0736,0.00106876,0.00106876,0.00106876
31,1254.39,0.93773,1.67183,1.07438,1.00702,0.66667,0.73491,0.73174,0.56289,0.66667,0.73491,0.71987,0.51356,0.96106,2.35856,1.32456,1.06188,0.00104813,0.00104813,0.00104813
32,1291.2,0.94339,1.70969,1.063,1.01201,0.53553,0.75437,0.72119,0.53833,0.53553,0.75437,0.68172,0.45978,0.94707,2.28729,1.4547,1.08061,0.0010275,0.0010275,0.0010275
33,1328.25,0.97199,1.73787,1.04934,1.02766,0.51224,0.75268,0.66101,0.45628,0.48401,0.69745,0.56809,0.41105,0.98219,2.25185,1.4997,1.10327,0.00100687,0.00100687,0.00100687
34,1366.05,0.96259,1.70204,1.04327,1.01303,0.56454,0.62359,0.5903,0.39999,0.52276,0.58547,0.51432,0.35161,0.98339,2.30345,1.7229,1.0906,0.000986239,0.000986239,0.000986239
35,1402.32,0.90223,1.59839,1.02763,0.99967,0.62015,0.58547,0.58463,0.4041,0.5713,0.52991,0.50876,0.35347,1.01638,2.24156,1.75378,1.10798,0.00096561,0.00096561,0.00096561
36,1441.52,0.89389,1.67129,1.0043,0.98035,0.67803,0.66026,0.61139,0.41526,0.64837,0.62393,0.55897,0.37278,1.0042,2.19732,1.56017,1.117,0.000944981,0.000944981,0.000944981
37,1477.58,0.88025,1.64812,0.95412,0.99641,0.70357,0.66742,0.68825,0.50205,0.65702,0.61208,0.61953,0.44969,1.00852,2.26706,1.44658,1.10406,0.000924352,0.000924352,0.000924352
38,1515.66,0.89979,1.45027,0.96152,1.00188,0.7058,0.63333,0.67289,0.47971,0.62061,0.61527,0.63456,0.4496,1.01409,2.3398,1.42847,1.06276,0.000903722,0.000903722,0.000903722
39,1552.87,0.87909,1.60404,0.93892,0.98199,0.73539,0.64103,0.6996,0.51066,0.68899,0.58547,0.65564,0.47647,0.95652,2.29682,1.42775,1.01771,0.000883093,0.000883093,0.000883093
40,1591.07,0.89259,1.51445,0.96588,0.97356,0.73643,0.68799,0.693,0.49025,0.68869,0.63302,0.64065,0.44353,0.99213,2.21807,1.3591,1.05694,0.000862464,0.000862464,0.000862464
41,1628.95,0.86979,1.53941,0.94086,0.97093,0.73152,0.61136,0.65695,0.49559,0.53967,0.70085,0.61262,0.43083,0.96495,2.14864,1.40128,1.06578,0.000841835,0.000841835,0.000841835
42,1667.26,0.81677,1.57142,0.97986,0.97538,0.66181,0.68342,0.67104,0.50729,0.61637,0.62803,0.63062,0.44145,0.96672,2.2325,1.3581,1.06355,0.000821206,0.000821206,0.000821206
43,1703.91,0.85535,1.47133,0.93283,0.9618,0.67661,0.6976,0.67379,0.48359,0.63247,0.64241,0.61282,0.42396,0.94347,2.27453,1.39007,1.03674,0.000800577,0.000800577,0.000800577
44,1740.8,0.83108,1.54198,0.90428,0.97033,0.63874,0.77718,0.725,0.57611,0.63874,0.77718,0.70302,0.51099,0.88438,2.21573,1.38623,1.04297,0.000779948,0.000779948,0.000779948
45,1779.29,0.81246,1.441,0.85529,0.96454,0.6171,0.77125,0.71021,0.56209,0.63793,0.78706,0.71594,0.48788,0.83825,2.25649,1.4806,1.00426,0.000759318,0.000759318,0.000759318
46,1816.96,0.84078,1.44027,0.90515,0.97561,0.62452,0.74143,0.70795,0.56608,0.64521,0.76051,0.73013,0.51361,0.84562,2.14151,1.49531,1.00173,0.000738689,0.000738689,0.000738689
47,1870.08,0.78865,1.40069,0.86729,0.95193,0.79404,0.65363,0.7061,0.5704,0.62417,0.75854,0.70336,0.50165,0.86689,2.09771,1.41888,1.01714,0.00071806,0.00071806,0.00071806
48,1932.88,0.83247,1.51357,0.89399,0.95592,0.75374,0.67735,0.72813,0.55129,0.58478,0.79618,0.67817,0.50414,0.86791,2.03845,1.41753,1.01483,0.000697431,0.000697431,0.000697431
49,1993,0.78583,1.44566,0.85795,0.96101,0.56426,0.81197,0.6649,0.53683,0.56426,0.81197,0.66476,0.48826,0.8214,2.08873,1.3862,1.00398,0.000676802,0.000676802,0.000676802
50,2055.3,0.80851,1.44494,0.84431,0.95472,0.63837,0.74314,0.64352,0.51635,0.59628,0.78783,0.62346,0.44593,0.83789,2.17312,1.45408,0.98906,0.000656173,0.000656173,0.000656173
51,2117.91,0.80084,1.41592,0.84532,0.95198,0.61352,0.78529,0.65539,0.52216,0.59301,0.78898,0.63526,0.45395,0.86838,2.25487,1.46582,0.99642,0.000635544,0.000635544,0.000635544
52,2177.31,0.77345,1.3417,0.81792,0.96126,0.58645,0.73718,0.67729,0.54249,0.5498,0.68162,0.64887,0.48875,0.84436,2.33237,1.44614,1.00048,0.000614915,0.000614915,0.000614915
53,2234.54,0.81678,1.47417,0.86738,0.95893,0.59662,0.82136,0.69293,0.55075,0.56229,0.76622,0.65608,0.49779,0.82561,2.19608,1.39327,0.98314,0.000594286,0.000594286,0.000594286
54,2292.76,0.77053,1.32804,0.80063,0.94742,0.7408,0.66656,0.70062,0.53854,0.59413,0.7138,0.65195,0.48444,0.83155,2.14766,1.42826,0.97768,0.000573656,0.000573656,0.000573656
55,2351.59,0.79018,1.47576,0.8239,0.94939,0.6727,0.7735,0.71053,0.55314,0.61177,0.69872,0.6523,0.48742,0.82205,2.14997,1.39366,0.97433,0.000553027,0.000553027,0.000553027
56,2413.51,0.76525,1.40701,0.84243,0.95641,0.71421,0.76436,0.70236,0.5591,0.6958,0.7735,0.66459,0.48291,0.77962,2.11481,1.32821,0.96638,0.000532398,0.000532398,0.000532398
57,2473.27,0.76468,1.43982,0.8293,0.94669,0.69809,0.75427,0.69648,0.56901,0.69809,0.75427,0.69398,0.50962,0.7544,2.04995,1.21871,0.95645,0.000511769,0.000511769,0.000511769
58,2534.64,0.75471,1.42132,0.81859,0.94709,0.69764,0.74623,0.6734,0.55593,0.72082,0.76546,0.70087,0.50815,0.81743,2.13267,1.30529,0.99107,0.00049114,0.00049114,0.00049114
59,2595.29,0.72205,1.26871,0.77218,0.94021,0.67648,0.79274,0.67145,0.55464,0.69541,0.81197,0.70583,0.49411,0.82415,2.15889,1.28905,0.99466,0.000470511,0.000470511,0.000470511
60,2655.85,0.76739,1.42197,0.8097,0.9366,0.68588,0.80747,0.69953,0.56942,0.68588,0.80747,0.69558,0.50905,0.82553,2.29437,1.21628,0.99039,0.000449882,0.000449882,0.000449882
61,2716.28,0.74903,1.31471,0.78809,0.9534,0.67404,0.79766,0.71738,0.60445,0.67404,0.79766,0.71413,0.54432,0.7705,2.3722,1.19287,0.96693,0.000429253,0.000429253,0.000429253
62,2775.13,0.7412,1.31866,0.76613,0.93364,0.70901,0.71581,0.66376,0.55694,0.70901,0.71581,0.66225,0.48999,0.76559,2.35107,1.23503,0.96313,0.000408623,0.000408623,0.000408623
63,2835.86,0.71924,1.35258,0.79546,0.94152,0.71362,0.71581,0.65,0.54059,0.71362,0.71581,0.64809,0.47585,0.75831,2.34379,1.28748,0.95803,0.000387994,0.000387994,0.000387994
64,2894.37,0.69447,1.26651,0.73828,0.91854,0.70576,0.71581,0.70227,0.58673,0.70576,0.71581,0.69977,0.52349,0.7311,2.31151,1.2392,0.94568,0.000367365,0.000367365,0.000367365
65,2953.52,0.70321,1.26728,0.77818,0.91838,0.71366,0.748,0.70699,0.58735,0.71366,0.748,0.70439,0.53927,0.73166,2.31402,1.22467,0.94266,0.000346736,0.000346736,0.000346736
66,3013.17,0.73245,1.31973,0.78401,0.93364,0.67139,0.75427,0.73765,0.61387,0.67139,0.75427,0.73563,0.56842,0.77805,2.25723,1.20953,0.9732,0.000326107,0.000326107,0.000326107
67,3073.41,0.7462,1.31704,0.80905,0.94887,0.67452,0.75427,0.71308,0.58908,0.67452,0.75427,0.70397,0.54188,0.79224,2.24588,1.22302,0.99771,0.000305478,0.000305478,0.000305478
68,3130.03,0.71537,1.25102,0.73399,0.92763,0.67737,0.7479,0.69694,0.57944,0.67737,0.7479,0.69411,0.5255,0.8046,2.19696,1.22165,1.00337,0.000284849,0.000284849,0.000284849
69,3190.28,0.69063,1.22597,0.78593,0.93252,0.67813,0.73504,0.69488,0.57986,0.67813,0.73504,0.68595,0.52134,0.79469,2.1112,1.23657,0.989,0.00026422,0.00026422,0.00026422
70,3250.52,0.69846,1.33055,0.73512,0.91918,0.69197,0.73504,0.7167,0.60601,0.69197,0.73504,0.70847,0.53549,0.74694,2.05986,1.23167,0.95782,0.00024359,0.00024359,0.00024359
71,3307.61,0.63112,1.2263,0.81981,0.887,0.61313,0.81197,0.71579,0.60821,0.61313,0.81197,0.71308,0.55196,0.73057,2.05363,1.24627,0.94706,0.000222961,0.000222961,0.000222961
72,3364.05,0.65038,1.24335,0.79415,0.88991,0.68447,0.73504,0.70545,0.59722,0.68447,0.73504,0.70356,0.54532,0.74368,2.05767,1.26473,0.95244,0.000202332,0.000202332,0.000202332
73,3421.65,0.59717,1.22351,0.72332,0.87127,0.61691,0.76276,0.67233,0.58315,0.63659,0.78185,0.69926,0.53137,0.78627,2.07787,1.28726,0.97764,0.000181703,0.000181703,0.000181703
74,3478.31,0.62652,1.2596,0.75753,0.87422,0.63002,0.75007,0.6687,0.56633,0.65114,0.76898,0.67272,0.50848,0.78955,2.11401,1.38178,0.98219,0.000161074,0.000161074,0.000161074
75,3535.68,0.6361,1.2229,0.79096,0.89543,0.61949,0.7709,0.67571,0.57253,0.70216,0.73061,0.6827,0.52016,0.80147,2.13533,1.30835,0.97299,0.000140445,0.000140445,0.000140445
76,3592.09,0.59768,1.21692,0.74347,0.87649,0.73314,0.71581,0.69098,0.59883,0.73314,0.71581,0.68682,0.53532,0.75935,2.17691,1.25665,0.9552,0.000119816,0.000119816,0.000119816
77,3648,0.57963,1.14123,0.69702,0.87166,0.74139,0.69607,0.70316,0.61109,0.74139,0.69607,0.69759,0.53662,0.74489,2.15689,1.24904,0.95249,9.91865e-05,9.91865e-05,9.91865e-05
78,3705.28,0.57317,1.1608,0.72922,0.8581,0.6937,0.73504,0.70918,0.61677,0.6937,0.73504,0.70201,0.54355,0.72711,2.14831,1.24359,0.94769,7.85574e-05,7.85574e-05,7.85574e-05
79,3760.43,0.619,1.12505,0.73471,0.87341,0.7005,0.73504,0.71094,0.61872,0.7005,0.73504,0.70268,0.54315,0.71885,2.14944,1.2384,0.94656,5.79283e-05,5.79283e-05,5.79283e-05
80,3819.98,0.59359,1.19546,0.70565,0.86189,0.70208,0.72965,0.71407,0.61986,0.70208,0.72965,0.70577,0.54492,0.72035,2.14313,1.25868,0.95003,3.72991e-05,3.72991e-05,3.72991e-05
